"key","message","comment","context"
"Include if","Inclure si",,"resources\domains\MetaJson.xml:25"
"Increment","Incrément",,"resources\domains\MetaSequence.xml:16"
"Indigo","Indigo",,"resources\views\Meta.xml:56"
"Information","Information",,"resources\views\DMS.xml:130
resources\views\Meta.xml:42"
"Initial","Valeur origine",,"resources\domains\MetaSequence.xml:17"
"Inline","En ligne",,"resources\views\Meta.xml:48"
"Install","Installer",,"resources\views\Meta.xml:98"
"Install module","Installer le module",,"resources\views\Meta.xml:84"
"Installed","Installé ?",,"resources\domains\Meta.xml:21"
"Integer","Entier",,"resources\views\MetaJson.xml:8"
"Internal Server Error","Erreur de serveur interne",,"java\com\axelor\rpc\Response.java:154"
"Invalid XML.","XML invalide.",,"java\com\axelor\meta\web\MetaController.java:88"
"Invalid cron :","Cron non valide :",,"java\com\axelor\meta\web\JobController.java:52"
"Invalid field value.","Valeur non valide.",,"java\com\axelor\meta\schema\actions\ActionCondition.java:112"
"Invalid permission","Permission invalide",,"java\com\axelor\dms\db\repo\DMSPermissionRepository.java:97"
"Invalid use of action-record: %s, must be the last action.","Utilisation incorrecte de l'action-record :%s, doit être la dernière action.",,"java\com\axelor\meta\schema\actions\ActionGroup.java:78"
"Inverse","Inverse",,"resources\views\DMS.xml:131
resources\views\Meta.xml:41"
"Is archived","Est archivé",,"resources\domains\Mail.xml:59"
"Is directory","Est un répertoire",,"resources\domains\DMS.xml:10"
"Is read","Est lu",,"resources\domains\Mail.xml:58"
"Is starred","Est favori",,"resources\domains\Mail.xml:57"
"Items","Éléments",,"resources\domains\Meta.xml:179"
"Job","Job",,"resources\domains\MetaSchedule.xml:22"
"Job Management","Gestion des planificateurs",,"resources\views\Menu.xml:12"
"Job has been updated.","Le planificateur a été mis à jour.",,"java\com\axelor\meta\web\JobController.java:59"
"Json","Json",,"resources\domains\Meta.xml:226"
"Json model","Modèle Json",,"resources\domains\MetaJson.xml:16
resources\domains\MetaJson.xml:88"
"Kanban","Kanban",,"resources\views\Meta.xml:15"
"Key","Clé",,"resources\domains\Meta.xml:230"
"Label","Label",,"resources\domains\Meta.xml:222
resources\views\MetaJson.xml:17"
"Language","Langue",,"resources\domains\Meta.xml:232
resources\domains\Meta.xml:242
resources\domains\User.xml:21"
"Last modified","Modifié le",,"resources\views\DMS.xml:12"
"Last password update date","Date de dernière modification du mot de passe",,"resources\domains\User.xml:16"
"Left menu","Menu à gauche",,"resources\domains\Meta.xml:102"
"Light Blue","Bleu clair",,"resources\views\Meta.xml:58"
"Light Green","Vert clair",,"resources\views\Meta.xml:62"
"Lime","Vert citron",,"resources\views\Meta.xml:63"
"Link","Lien",,"resources\domains\Meta.xml:106
resources\views\Team.xml:100"
"Login","Identifiant",,"resources\domains\User.xml:13"
"Low","Bas",,"resources\views\Team.xml:14"
"Mail","Mail",,"resources\views\Mail.xml:72"
"ManyToMany","ManyToMany",,"resources\views\Meta.xml:381
resources\views\MetaJson.xml:21"
"ManyToOne","ManyToOne",,"resources\views\Meta.xml:379
resources\views\MetaJson.xml:20"
"Mapped by","Mappé avec",,"resources\domains\Meta.xml:224"
"Max","Max",,"resources\views\MetaJson.xml:50"
"Max size","Taille max",,"resources\domains\MetaJson.xml:40"
"Max size 4MB.","Taille max 4MO.",,"resources\domains\User.xml:19"
"Members","Membres",,"resources\domains\Team.xml:13"
"Menu","Menu",,"resources\domains\Meta.xml:238
resources\domains\MetaJson.xml:73
resources\views\MetaJson.xml:162"
"Menu Help","Aide de menu",,"resources\views\Menu.xml:134
resources\views\Menu.xml:142
resources\views\Meta.xml:465"
"Menu Item","Menu Item",,"resources\views\Meta.xml:256"
"Menu Items","Menu Items",,"resources\views\Meta.xml:216
resources\views\Meta.xml:222"
"Menu background","Arrière-plan de menu",,"resources\domains\MetaJson.xml:76"
"Menu icon","Icône de menu",,"resources\domains\MetaJson.xml:75"
"Menu order","Ordre de menu",,"resources\domains\Meta.xml:90
resources\domains\MetaJson.xml:77"
"Menu parent","Parent du menu",,"resources\domains\MetaJson.xml:74"
"Menu title","Titre de menu",,"resources\domains\MetaJson.xml:78"
"Menu top","Haut de menu",,"resources\domains\MetaJson.xml:79"
"Menus","Les Menus",,"resources\domains\Group.xml:25
resources\domains\Role.xml:14
resources\views\Menu.xml:89"
"Message","Message",,"resources\domains\Mail.xml:36
resources\domains\Mail.xml:56
resources\domains\Meta.xml:231"
"Meta file","Fichier meta",,"resources\domains\DMS.xml:18"
"Meta model","Modèle",,"resources\domains\Meta.xml:218"
"Meta permission","Permission meta",,"resources\domains\MetaPermission.xml:17"
"MetaScheduleParam","MetaScheduleParam",,"resources\views\Schedules.xml:38"
"Min","Min",,"resources\views\MetaJson.xml:49"
"Min size","Taille min",,"resources\domains\MetaJson.xml:39"
"Mobile menu","Menu mobile",,"resources\domains\Meta.xml:103"
"Model","Objet",,"resources\domains\Meta.xml:155
resources\domains\Meta.xml:239
resources\domains\Meta.xml:250
resources\domains\Meta.xml:34
resources\domains\Meta.xml:74
resources\domains\MetaJson.xml:14
resources\views\Meta.xml:368"
"Model Management","Gestion des modèles",,"resources\views\Menu.xml:8"
"Model field","Champ de modèle",,"resources\domains\MetaJson.xml:15"
"Models","Les Modèles",,"resources\views\Menu.xml:62
resources\views\Meta.xml:361"
"Modified","Modifié",,"resources\views\DMS.xml:36"
"Module","Module",,"resources\domains\Meta.xml:135
resources\domains\Meta.xml:156
resources\domains\Meta.xml:178
resources\domains\Meta.xml:35
resources\domains\Meta.xml:96
resources\views\Meta.xml:88
resources\views\Meta.xml:89"
"Module Management","Gestion des modules",,"resources\views\Menu.xml:11"
"Module to check","Module à vérifier",,"resources\domains\Meta.xml:116"
"Modules","Les Modules",,"resources\views\Menu.xml:53"
"My Documents","Mes fichiers",,"resources\views\DMS.xml:169
resources\views\DMS.xml:210"
"My Teams","Mes équipes",,"resources\views\Team.xml:145
resources\views\Team.xml:212"
"My open tasks","Mes tâches ouvertes",,"resources\views\Team.xml:173
resources\views\Team.xml:207"
"Name","Nom",,"resources\domains\DMS.xml:33
resources\domains\Group.xml:14
resources\domains\Meta.xml:13
resources\domains\Meta.xml:132
resources\domains\Meta.xml:152
resources\domains\Meta.xml:168
resources\domains\Meta.xml:176
resources\domains\Meta.xml:206
resources\domains\Meta.xml:219
resources\domains\Meta.xml:253
resources\domains\Meta.xml:30
resources\domains\Meta.xml:71
resources\domains\Meta.xml:92
resources\domains\MetaFilter.xml:14
resources\domains\MetaJson.xml:65
resources\domains\MetaJson.xml:89
resources\domains\MetaJson.xml:9
resources\domains\MetaPermission.xml:10
resources\domains\MetaSchedule.xml:10
resources\domains\MetaSchedule.xml:20
resources\domains\MetaSequence.xml:12
resources\domains\Permission.xml:13
resources\domains\Role.xml:12
resources\domains\Team.xml:19
resources\domains\Team.xml:49
resources\domains\Team.xml:9
resources\domains\User.xml:14
resources\views\DMS.xml:23
resources\views\DMS.xml:65"
"Name field","Champ de nom",,"resources\domains\MetaJson.xml:36
resources\domains\MetaJson.xml:69"
"Name length should be greater than 2.","La longueur du nom doit être supérieur à 2",,"resources\views\Group.xml:43
resources\views\User.xml:86"
"Navigation","Navigation",,"resources\domains\Group.xml:15"
"New","Nouveau",,"resources\views\Team.xml:7"
"New password","Nouveau mot de passe",,"resources\views\User.xml:44
resources\views\User.xml:74"
"New password of the user","Nouveau mot de passe de l’utilisateur",,"resources\views\User.xml:44
resources\views\User.xml:74"
"Next","Valeur suivante",,"resources\domains\MetaSequence.xml:18"
"No archived messages!","Aucun message archivé",,"resources\views\Mail.xml:40"
"No help","Aucune aide",,"resources\domains\User.xml:25"
"No important messages!","Aucun message important",,"resources\views\Mail.xml:29"
"Normal","Normal",,"resources\views\Team.xml:15"
"Not allowed","Non autorisé",,"resources\domains\Group.xml:30"
"Object","Objet",,"resources\domains\Meta.xml:282
resources\domains\MetaPermission.xml:11
resources\domains\Permission.xml:14"
"Object name","Nom de l'objet",,"resources\domains\Meta.xml:281"
"On change","Au changement",,"resources\domains\MetaJson.xml:56"
"On click","Au clic",,"resources\domains\MetaJson.xml:57"
"On new","À la création",,"resources\domains\MetaJson.xml:67"
"On save","À l'enregistrement",,"resources\domains\MetaJson.xml:68"
"OneToMany","OneToMany",,"resources\views\Meta.xml:380
resources\views\MetaJson.xml:22"
"OneToOne","OneToOne",,"resources\views\Meta.xml:378"
"Only if","Seulement si",,"resources\views\MetaJson.xml:78"
"Only use this menu-item if the given expression is true (ie `if` condition).","Utiliser uniquement ce menu-item si l'expression donnée est vraie (càd condition `if`)",,"resources\domains\Meta.xml:115"
"Only use this menu-item if the given module is installed (ie `if-module` condition).","Utiliser uniquement ce menu-item si le module est installé (càd condition `if-module`)",,"resources\domains\Meta.xml:116"
"Options","Options",,"resources\views\MetaJson.xml:102
resources\views\MetaJson.xml:37"
"Orange","Orange",,"resources\views\Meta.xml:66"
"Order","Ordre",,"resources\domains\Meta.xml:130
resources\domains\Meta.xml:196
resources\domains\Meta.xml:256
resources\views\MetaJson.xml:167"
"Order by","Trier par",,"resources\domains\MetaJson.xml:71"
