"key","message","comment","context"
"Grid view",,,"resources\domains\MetaJson.xml:52
resources\domains\MetaJson.xml:81"
"Group",,,"resources\domains\DMS.xml:40
resources\domains\User.xml:31
resources\views\Group.xml:18"
"Group by",,,"resources\domains\MetaJson.xml:72"
"Groups",,,"resources\domains\Meta.xml:112
resources\domains\Meta.xml:41
resources\views\Group.xml:12
resources\views\Menu.xml:23
resources\views\Menu.xml:26"
"Help",,,"resources\domains\Meta.xml:245
resources\domains\MetaJson.xml:20
resources\views\Meta.xml:455
resources\views\Meta.xml:472"
"Help Management",,,"resources\views\Menu.xml:10"
"Help link",,,"resources\domains\Meta.xml:39"
"Hidden",,,"resources\domains\Meta.xml:136
resources\domains\Meta.xml:197
resources\domains\MetaJson.xml:33
resources\views\Group.xml:8"
"Hidden menu",,,"resources\domains\Meta.xml:104"
"Hide if",,,"resources\domains\MetaJson.xml:22
resources\domains\MetaPermission.xml:23"
"High",,,"resources\views\Team.xml:16"
"Home action",,,"resources\domains\Group.xml:16
resources\domains\User.xml:22"
"Icon",,,"resources\domains\Meta.xml:193
resources\domains\Meta.xml:94
resources\views\MetaJson.xml:165"
"Icon background",,,"resources\domains\Meta.xml:95
resources\views\MetaJson.xml:166"
"Important",,,"resources\views\DMS.xml:129
resources\views\Mail.xml:27
resources\views\Mail.xml:60
resources\views\Mail.xml:77
resources\views\Meta.xml:38"
"In Progress",,,"resources\views\Team.xml:8"
"Inbox",,,"resources\views\Mail.xml:16
resources\views\Mail.xml:49
resources\views\Mail.xml:75"
"Inbox is empty!",,,"resources\views\Mail.xml:18"
"Include if",,,"resources\domains\MetaJson.xml:25"
"Increment",,,"resources\domains\MetaSequence.xml:16"
"Indigo",,,"resources\views\Meta.xml:56"
"Information",,,"resources\views\DMS.xml:130
resources\views\Meta.xml:42"
"Initial",,,"resources\domains\MetaSequence.xml:17"
"Inline",,,"resources\views\Meta.xml:48"
"Install",,,"resources\views\Meta.xml:98"
"Install module",,,"resources\views\Meta.xml:84"
"Installed",,,"resources\domains\Meta.xml:21"
"Integer",,,"resources\views\MetaJson.xml:8"
"Internal Server Error",,,"java\com\axelor\rpc\Response.java:154"
"Invalid XML.",,,"java\com\axelor\meta\web\MetaController.java:88"
"Invalid cron :",,,"java\com\axelor\meta\web\JobController.java:52"
"Invalid field value.",,,"java\com\axelor\meta\schema\actions\ActionCondition.java:112"
"Invalid permission",,,"java\com\axelor\dms\db\repo\DMSPermissionRepository.java:97"
"Invalid use of action-record: %s, must be the last action.",,,"java\com\axelor\meta\schema\actions\ActionGroup.java:78"
"Inverse",,,"resources\views\DMS.xml:131
resources\views\Meta.xml:41"
"Is archived",,,"resources\domains\Mail.xml:59"
"Is directory",,,"resources\domains\DMS.xml:10"
"Is read",,,"resources\domains\Mail.xml:58"
"Is starred",,,"resources\domains\Mail.xml:57"
"Items",,,"resources\domains\Meta.xml:179"
"Job",,,"resources\domains\MetaSchedule.xml:22"
"Job Management",,,"resources\views\Menu.xml:12"
"Job has been updated.",,,"java\com\axelor\meta\web\JobController.java:59"
"Json",,,"resources\domains\Meta.xml:226"
"Json model",,,"resources\domains\MetaJson.xml:16
resources\domains\MetaJson.xml:88"
"Kanban",,,"resources\views\Meta.xml:15"
"Key",,,"resources\domains\Meta.xml:230"
"Label",,,"resources\domains\Meta.xml:222
resources\views\MetaJson.xml:17"
"Language",,,"resources\domains\Meta.xml:232
resources\domains\Meta.xml:242
resources\domains\User.xml:21"
"Last modified",,,"resources\views\DMS.xml:12"
"Last password update date",,,"resources\domains\User.xml:16"
"Left menu",,,"resources\domains\Meta.xml:102"
"Light Blue",,,"resources\views\Meta.xml:58"
"Light Green",,,"resources\views\Meta.xml:62"
"Lime",,,"resources\views\Meta.xml:63"
"Link",,,"resources\domains\Meta.xml:106
resources\views\Team.xml:100"
"Login",,,"resources\domains\User.xml:13"
"Low",,,"resources\views\Team.xml:14"
"Mail",,,"resources\views\Mail.xml:72"
"ManyToMany",,,"resources\views\Meta.xml:381
resources\views\MetaJson.xml:21"
"ManyToOne",,,"resources\views\Meta.xml:379
resources\views\MetaJson.xml:20"
"Mapped by",,,"resources\domains\Meta.xml:224"
"Max",,,"resources\views\MetaJson.xml:50"
"Max size",,,"resources\domains\MetaJson.xml:40"
"Max size 4MB.",,,"resources\domains\User.xml:19"
"Members",,,"resources\domains\Team.xml:13"
"Menu",,,"resources\domains\Meta.xml:238
resources\domains\MetaJson.xml:73
resources\views\MetaJson.xml:162"
"Menu Help",,,"resources\views\Menu.xml:134
resources\views\Menu.xml:142
resources\views\Meta.xml:465"
"Menu Item",,,"resources\views\Meta.xml:256"
"Menu Items",,,"resources\views\Meta.xml:216
resources\views\Meta.xml:222"
"Menu background",,,"resources\domains\MetaJson.xml:76"
"Menu icon",,,"resources\domains\MetaJson.xml:75"
"Menu order",,,"resources\domains\Meta.xml:90
resources\domains\MetaJson.xml:77"
"Menu parent",,,"resources\domains\MetaJson.xml:74"
"Menu title",,,"resources\domains\MetaJson.xml:78"
"Menu top",,,"resources\domains\MetaJson.xml:79"
"Menus",,,"resources\domains\Group.xml:25
resources\domains\Role.xml:14
resources\views\Menu.xml:89"
"Message",,,"resources\domains\Mail.xml:36
resources\domains\Mail.xml:56
resources\domains\Meta.xml:231"
"Meta file",,,"resources\domains\DMS.xml:18"
"Meta model",,,"resources\domains\Meta.xml:218"
"Meta permission",,,"resources\domains\MetaPermission.xml:17"
"MetaScheduleParam",,,"resources\views\Schedules.xml:38"
"Min",,,"resources\views\MetaJson.xml:49"
"Min size",,,"resources\domains\MetaJson.xml:39"
"Mobile menu",,,"resources\domains\Meta.xml:103"
"Model",,,"resources\domains\Meta.xml:155
resources\domains\Meta.xml:239
resources\domains\Meta.xml:250
resources\domains\Meta.xml:34
resources\domains\Meta.xml:74
resources\domains\MetaJson.xml:14
resources\views\Meta.xml:368"
"Model Management",,,"resources\views\Menu.xml:8"
"Model field",,,"resources\domains\MetaJson.xml:15"
"Models",,,"resources\views\Menu.xml:62
resources\views\Meta.xml:361"
"Modified",,,"resources\views\DMS.xml:36"
"Module",,,"resources\domains\Meta.xml:135
resources\domains\Meta.xml:156
resources\domains\Meta.xml:178
resources\domains\Meta.xml:35
resources\domains\Meta.xml:96
resources\views\Meta.xml:88
resources\views\Meta.xml:89"
"Module Management",,,"resources\views\Menu.xml:11"
"Module to check",,,"resources\domains\Meta.xml:116"
"Modules",,,"resources\views\Menu.xml:53"
"My Documents",,,"resources\views\DMS.xml:169
resources\views\DMS.xml:210"
"My Teams",,,"resources\views\Team.xml:145
resources\views\Team.xml:212"
"My open tasks",,,"resources\views\Team.xml:173
resources\views\Team.xml:207"
"Name",,,"resources\domains\DMS.xml:33
resources\domains\Group.xml:14
resources\domains\Meta.xml:13
resources\domains\Meta.xml:132
resources\domains\Meta.xml:152
resources\domains\Meta.xml:168
resources\domains\Meta.xml:176
resources\domains\Meta.xml:206
resources\domains\Meta.xml:219
resources\domains\Meta.xml:253
resources\domains\Meta.xml:30
resources\domains\Meta.xml:71
resources\domains\Meta.xml:92
resources\domains\MetaFilter.xml:14
resources\domains\MetaJson.xml:65
resources\domains\MetaJson.xml:89
resources\domains\MetaJson.xml:9
resources\domains\MetaPermission.xml:10
resources\domains\MetaSchedule.xml:10
resources\domains\MetaSchedule.xml:20
resources\domains\MetaSequence.xml:12
resources\domains\Permission.xml:13
resources\domains\Role.xml:12
resources\domains\Team.xml:19
resources\domains\Team.xml:49
resources\domains\Team.xml:9
resources\domains\User.xml:14
resources\views\DMS.xml:23
resources\views\DMS.xml:65"
"Name field",,,"resources\domains\MetaJson.xml:36
resources\domains\MetaJson.xml:69"
